Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0 - Fetch homepage links,1,326,326,326,0.00,0.000%,3.06748,1.03,0.63,345.0
1 - Get all notes,250,1,0,100,7.89,0.000%,2.44334,1.47,0.51,616.0
1 - Get all notes options,250,4,0,259,18.02,0.000%,2.44582,1.09,0.52,456.0
1 - Get note (1),250,2,0,68,7.71,0.000%,2.45686,1.47,0.52,612.0
1 - Get note options (1),250,3,0,39,8.80,0.000%,2.45852,1.80,0.53,750.0
1 - Get creator (1),250,3,0,38,7.35,0.000%,2.46116,1.20,0.52,498.0
1 - Get note (2),250,2,0,40,6.80,0.000%,2.46271,1.56,0.52,649.0
1 - Get note options (2),250,3,0,40,9.04,0.000%,2.46281,1.80,0.53,750.0
1 - Get creator (2),250,3,0,36,9.00,0.000%,2.46364,1.32,0.52,550.0
1 - Get note (3),250,3,0,39,8.46,0.000%,2.46454,1.53,0.52,634.0
1 - Get note options (3),250,3,0,74,9.86,0.000%,2.46461,1.81,0.53,750.0
1 - Get creator (3),250,3,0,39,8.80,0.000%,2.46534,1.43,0.52,592.0
1 - Get note (4),250,2,0,40,7.04,0.000%,2.46604,1.08,0.52,447.0
1 - Get note options (4),250,3,0,42,9.50,0.000%,2.46536,1.81,0.53,750.0
1 - Get creator (4),250,2,0,41,6.27,0.000%,2.46660,1.41,0.53,586.0
1 - Get note (5),250,1,0,36,5.19,0.000%,2.46724,0.99,0.52,411.0
1 - Get note options (5),250,3,0,42,8.82,0.000%,2.46728,1.81,0.53,750.0
1 - Get note (6),250,2,0,40,7.65,0.000%,2.46848,1.32,0.52,549.0
1 - Get note options (6),250,5,0,386,26.33,0.000%,2.46858,1.81,0.53,750.0
1 - Get note (7),250,2,0,37,6.56,0.000%,2.46948,1.20,0.52,497.0
1 - Get note options (7),250,3,0,42,8.48,0.000%,2.46975,1.81,0.53,750.0
1 - Get note (8),250,1,0,36,5.36,0.000%,2.47172,1.19,0.52,494.0
1 - Get note options (8),250,2,0,42,8.21,0.000%,2.47194,1.81,0.53,750.0
1 - Get note (9),250,3,0,127,11.30,0.000%,2.47268,2.52,0.52,1044.0
1 - Get note options (9),250,4,0,40,9.72,0.000%,2.47277,1.81,0.53,750.0
1 - Get note (10),250,4,0,42,9.94,0.000%,2.47351,2.08,0.52,861.0
1 - Get note options (10),250,3,0,42,8.79,0.000%,2.47361,1.81,0.53,750.0
2 - Get first note,250,3,0,41,8.68,0.000%,2.47574,1.48,0.52,612.0
3 - Get first note options,250,4,0,42,10.21,0.000%,2.47579,1.81,0.53,750.0
3.1 - Get creator,250,2,0,38,6.00,0.000%,2.47800,1.21,0.53,498.0
3.1 - Get creator options,250,2,0,36,7.09,0.000%,2.47812,0.87,0.54,360.0
3.1 - Get edited note options (1),250,3,0,40,8.65,0.000%,2.47972,1.82,0.53,750.0
3.1 - Get keywords (1),250,2,0,36,5.30,0.000%,2.51491,0.68,0.55,278.0
3.1 - Get edited note options (2),250,4,0,314,21.12,0.000%,2.51494,1.84,0.54,750.0
3.1 - Get keywords (2),250,1,0,34,4.35,0.000%,2.51501,0.61,0.55,247.0
3.1 - Get edited note options (10),250,4,0,191,14.66,0.000%,2.51517,1.84,0.54,750.0
3.1 - Get keywords (10),250,2,0,40,6.26,0.000%,2.51527,0.72,0.56,295.0
3.2 - Get contributor (3),250,2,0,37,6.44,0.000%,2.51641,1.44,0.54,586.0
3.2 - Get contributor options (3),250,2,0,39,7.02,0.000%,2.51646,0.88,0.55,360.0
3.2 - Get edited note options (1),500,3,0,43,8.40,0.000%,5.02937,3.68,1.08,750.0
3.2 - Get edited note options (3),250,3,0,42,8.65,0.000%,2.51707,1.84,0.54,750.0
3.2 - Get keywords (3),250,2,0,147,10.29,0.000%,2.51722,0.65,0.55,263.0
