Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0 - Fetch homepage links,1,212,212,212,0.00,0.000%,4.71698,1.59,0.97,345.0
1 - Get all notes,250,9,0,105,15.95,0.000%,1.46343,0.88,0.31,616.0
1 - Get all notes options,250,5,0,39,11.00,0.000%,1.46438,0.65,0.31,456.0
1 - Get note (1),250,7,0,95,14.08,0.000%,1.47002,0.88,0.31,612.0
1 - Get note options (1),250,10,0,47,15.46,0.000%,1.47085,1.08,0.32,750.0
1 - Get creator (1),250,6,0,44,12.01,0.000%,1.47207,0.72,0.31,498.0
1 - Get note (2),250,8,0,105,14.92,0.000%,1.47229,0.93,0.31,649.0
1 - Get note options (2),250,11,0,46,15.84,0.000%,1.47230,1.08,0.32,750.0
1 - Get creator (2),250,7,0,45,13.12,0.000%,1.47254,0.79,0.31,550.0
1 - Get note (3),250,7,0,46,13.15,0.000%,1.47268,0.91,0.31,634.0
1 - Get note options (3),250,9,0,48,15.09,0.000%,1.47239,1.08,0.32,750.0
1 - Get creator (3),250,8,0,40,14.16,0.000%,1.47260,0.85,0.31,592.0
1 - Get note (4),250,3,0,41,8.76,0.000%,1.47274,0.64,0.31,447.0
1 - Get note options (4),250,10,0,46,14.73,0.000%,1.47277,1.08,0.32,750.0
1 - Get creator (4),250,7,0,192,17.15,0.000%,1.47292,0.84,0.31,586.0
1 - Get note (5),250,3,0,40,9.31,0.000%,1.47285,0.59,0.31,411.0
1 - Get note options (5),250,10,0,44,14.63,0.000%,1.47288,1.08,0.32,750.0
1 - Get note (6),250,5,0,41,11.53,0.000%,1.47311,0.79,0.31,549.0
1 - Get note options (6),250,9,0,48,14.78,0.000%,1.47314,1.08,0.32,750.0
1 - Get note (7),250,4,0,43,10.68,0.000%,1.47305,0.71,0.31,497.0
1 - Get note options (7),250,9,0,48,14.99,0.000%,1.47308,1.08,0.32,750.0
1 - Get note (8),250,5,0,42,11.85,0.000%,1.47354,0.71,0.31,494.0
1 - Get note options (8),250,9,0,166,17.52,0.000%,1.47357,1.08,0.32,750.0
1 - Get note (9),250,11,0,50,16.31,0.000%,1.47407,1.50,0.31,1044.0
1 - Get note options (9),250,10,0,49,14.80,0.000%,1.47415,1.08,0.32,750.0
1 - Get note (10),250,9,0,50,15.24,0.000%,1.47460,1.24,0.31,861.0
1 - Get note options (10),250,10,0,48,15.84,0.000%,1.47467,1.08,0.32,750.0
2 - Get first note,250,7,0,41,13.50,0.000%,1.47505,0.88,0.31,612.0
3 - Get first note options,250,8,0,47,13.86,0.000%,1.47509,1.08,0.32,750.0
3.1 - Get creator,250,6,0,40,12.65,0.000%,1.47570,0.72,0.31,498.0
3.1 - Get creator options,250,4,0,37,10.09,0.000%,1.47573,0.52,0.32,360.0
3.1 - Get edited note options (1),250,7,0,48,13.25,0.000%,1.47599,1.08,0.32,750.0
3.1 - Get keywords (1),250,5,0,40,11.18,0.000%,1.48901,0.40,0.33,278.0
3.1 - Get edited note options (2),250,10,0,54,15.64,0.000%,1.48927,1.09,0.32,750.0
3.1 - Get keywords (2),250,2,0,39,6.45,0.000%,1.48930,0.36,0.33,247.0
3.1 - Get edited note options (10),250,11,0,46,15.82,0.000%,1.48905,1.09,0.32,750.0
3.1 - Get keywords (10),250,5,0,39,11.06,0.000%,1.48907,0.43,0.33,295.0
3.2 - Get contributor (3),250,6,0,45,12.56,0.000%,1.48947,0.85,0.32,586.0
3.2 - Get contributor options (3),250,4,0,39,10.01,0.000%,1.48950,0.52,0.32,360.0
3.2 - Get edited note options (1),500,8,0,48,14.50,0.000%,2.97713,2.18,0.64,750.0
3.2 - Get edited note options (3),250,8,0,46,14.36,0.000%,1.48938,1.09,0.32,750.0
3.2 - Get keywords (3),250,3,0,38,8.46,0.000%,1.48944,0.38,0.33,263.0
3.2 - Get edited note options (4),250,7,0,47,13.73,0.000%,1.48950,1.09,0.32,750.0
3.2 - Get keywords (4),250,3,0,38,8.44,0.000%,1.48956,0.38,0.33,262.0
3.2 - Get edited note options (5),250,6,0,46,12.56,0.000%,1.48965,1.09,0.32,750.0
3.2 - Get keywords (5),250,3,0,39,7.94,0.000%,1.48969,0.38,0.33,262.0
3.2 - Get edited note options (6),500,8,0,48,14.51,0.000%,2.97770,2.18,0.64,750.0
3.2 - Get keywords (6),250,2,0,39,7.13,0.000%,1.48982,0.40,0.33,276.0
3.2 - Get edited note options (9),500,10,0,392,22.73,0.000%,2.97779,2.18,0.64,750.0
3.2 - Get keywords (9),250,2,0,38,6.54,0.000%,1.48964,0.40,0.33,276.0
3.2 - Get contributor (4),250,4,0,41,10.18,0.000%,1.48981,0.80,0.32,550.0
3.2 - Get contributor options (4),250,5,0,43,10.97,0.000%,1.48986,0.52,0.32,360.0
3.2 - Get edited note options (2),250,8,0,47,14.49,0.000%,1.49014,1.09,0.32,750.0
3.2 - Get edited note options (7),250,8,0,353,25.26,0.000%,1.49011,1.09,0.32,750.0
3.2 - Get keywords (7),250,2,0,36,6.03,0.000%,1.49016,0.38,0.33,259.0
4 - Get first note options,250,9,0,44,14.71,0.000%,1.49032,1.09,0.32,750.0
4 - Get keywords options,250,4,0,38,9.59,0.000%,1.49068,0.44,0.33,302.0
4 - Add keyword,250,2,0,49,7.47,0.000%,1.49116,0.36,0.52,244.0
5 - Get search options,250,7,0,46,13.71,0.000%,1.49129,1.06,0.33,728.0
5 - Get search results,250,4,0,38,9.36,0.000%,1.49157,0.49,0.36,333.0
5 - Get search result options,250,5,0,40,11.18,0.000%,1.49169,0.66,0.37,456.0
5 - Get note options (4),250,10,0,45,15.10,0.000%,1.49204,1.09,0.32,750.0
5 - Delete note (4),250,1,0,35,4.82,0.000%,1.49236,0.12,0.44,81.0
5 - Get note options (5),250,7,0,46,13.79,0.000%,1.49219,1.09,0.32,750.0
5 - Delete note (5),250,1,0,32,2.64,0.000%,1.49224,0.12,0.44,81.0
5 - Get note options (6),250,5,0,45,11.51,0.000%,1.49229,1.09,0.32,750.0
5 - Delete note (6),250,1,0,22,1.43,0.000%,1.49234,0.12,0.44,81.0
5 - Get note options (7),250,6,0,45,13.30,0.000%,1.49237,1.09,0.32,750.0
5 - Delete note (7),250,1,0,35,4.71,0.000%,1.49241,0.12,0.44,81.0
TOTAL,17751,6,0,392,13.62,0.000%,103.30018,57.01,22.94,565.2
