Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0 - Fetch homepage links,1,243,243,243,0.00,0.000%,4.11523,1.62,0.67,404.0
1 - Get all notes,250,76,3,247,19.68,0.000%,1.96111,8.24,0.36,4305.0
1 - Get creator (/notes/1/creator),250,2,1,44,3.38,0.000%,1.96491,1.08,0.35,565.0
1 - Get creator (/notes/2/creator),250,2,0,30,4.58,0.000%,1.96556,1.03,0.35,536.0
1 - Get creator (/notes/3/creator),250,7,0,44,11.60,0.000%,1.96572,1.11,0.35,576.0
1 - Get creator (/notes/4/creator),250,12,0,43,15.32,0.000%,1.96592,1.07,0.35,555.0
1 - Get creator (/notes/5/creator),250,11,1,45,15.93,0.000%,1.96535,1.07,0.35,555.0
1 - Get creator (/notes/6/creator),250,7,0,44,12.63,0.000%,1.96536,1.07,0.35,555.0
1 - Get creator (/notes/7/creator),250,8,0,44,13.62,0.000%,1.96541,1.11,0.35,576.0
1 - Get creator (/notes/8/creator),250,7,0,46,12.73,0.000%,1.96542,1.11,0.35,576.0
1 - Get creator (/notes/9/creator),250,11,1,63,15.53,0.000%,1.96546,1.03,0.35,536.0
1 - Get creator (/notes/10/creator),250,10,1,45,15.51,0.000%,1.96488,1.09,0.35,566.0
2 - Get first note,250,11,1,61,15.60,0.000%,1.96490,1.50,0.33,784.0
3.1 - Get creator of note 1,250,8,1,43,12.48,0.000%,1.96499,1.08,0.35,565.0
3.1 - Get edited notes of creator,250,47,1,86,14.86,0.000%,1.96422,4.46,0.36,2323.0
3.1 - Get keywords (/notes/1/keywords),250,4,1,46,8.04,0.000%,1.96442,1.15,0.35,600.0
3.1 - Get keywords (/notes/2/keywords),250,2,0,30,3.04,0.000%,1.96459,0.62,0.35,325.0
3.1 - Get keywords (/notes/10/keywords),250,7,0,44,11.64,0.000%,1.96464,1.34,0.35,700.0
3.2 - Get contributors of note 1,250,19,1,45,18.19,0.000%,1.96471,1.66,0.36,867.0
3.2 - Get edited notes of creator (/authors/3/editedNotes),250,72,3,103,14.63,0.000%,1.96340,7.50,0.36,3909.0
3.2 - Get keywords (/notes/3/keywords),250,2,1,7,0.84,0.000%,1.96346,0.81,0.35,422.0
3.2 - Get keywords (/notes/4/keywords),250,2,0,30,2.51,0.000%,1.96351,0.81,0.35,421.0
3.2 - Get keywords (/notes/5/keywords),250,2,0,29,4.56,0.000%,1.96356,0.81,0.35,421.0
3.2 - Get keywords (/notes/6/keywords),250,9,0,43,13.84,0.000%,1.96319,0.98,0.35,513.0
3.2 - Get keywords (/notes/9/keywords),250,10,0,43,15.44,0.000%,1.96322,0.99,0.35,517.0
3.2 - Get edited notes of creator (/authors/4/editedNotes),250,67,4,91,14.31,0.000%,1.96231,6.62,0.36,3452.0
3.2 - Get keywords (/notes/7/keywords),250,2,0,4,0.76,0.000%,1.96235,0.80,0.35,418.0
4 - Get first note,250,3,1,42,6.88,0.000%,1.96237,1.50,0.34,784.0
4 - Add keyword,250,5,1,93,10.82,0.000%,1.96202,0.68,0.71,353.0
5 - Get keyword search link,250,5,0,41,11.00,0.000%,1.96343,0.58,0.33,302.0
5 - Search for keywrod,250,46,1,72,16.15,0.000%,1.96285,4.17,0.39,2173.0
5 - Delete note (/notes/4),250,2,1,38,4.18,0.000%,1.96306,0.30,0.45,155.0
5 - Delete note (/notes/5),250,1,0,24,2.06,0.000%,1.96331,0.30,0.45,155.0
5 - Delete note (/notes/6),250,2,0,36,4.93,0.000%,1.96331,0.30,0.45,155.0
5 - Delete note (/notes/7),250,1,0,36,2.66,0.000%,1.96333,0.30,0.45,155.0
TOTAL,8501,14,0,247,23.89,0.000%,66.29959,57.83,12.67,893.2
